1, "Innell Aberfoyle", ia432, 1, 9
2, "Vinny Aokigahara", va616, 1, 6
3, "Assumption Arvaikheer", aa129, 1, 10
4, "Unit Bashmakovo", ub3146, 1, 9.5
5, "Sif Charleroi", sc833, 1, 8.5
6, "Cory Coriolis", cc934, 1, 7
7, "Fowum Darmstadt", fd39932, 1, 10
8, "Brimpfen Haode", bg159, 1, 4.5
9, "Sunk Helsingborg", sh513, 1, 9
10, "Mifo Ichinomiya", mi3497, 1, 10
11, "Jacob Jacobi", jjj333, 1, 5
12, "Hush Liouying", hl342, 1, 10
13, "Dara Llanybydder", dyl253, 1, 8
14, "Neum Maebashi", nm337, 1, 9
15, "Nye Novgorod", nn632, 1, 10
16, "Elena Random", er312, 1, 7
17, "Axela Schrodinger", as951, 1, 6
18, "Jintian Shueishang", js784, 1, 10
19, "Yue Syuejia", ys383, 1, 8
20, "JJ Thomson", jjt235, 1, 7.5
21, "Thirsty Toyooka", tut932, 1, 9
22, "Etchel Viborg", ehv329, 1, 10
23, "Fish Ynysybwl", fy6328, 1, 8
24, "Dan Zijilai", dz6755, 1, 10
